"CrimeDate","CrimeTime","CrimeCode","Location","Description","Inside\/Outside","Weapon","Post","District","Neighborhood","Longitude","Latitude","Location 1","Premise","vri_name1","Total Incidents"
1546214400000,"07:30:00","7A","1500 STONEWOOD RD","AUTO THEFT","O",null,413,"NORTHEAST","STONEWOOD-PENTWOOD-W",-76.5901161674,39.349285677,null,"STREET",null,1
1546214400000,"19:41:00","7A","700 W LEXINGTON ST","AUTO THEFT","O",null,122,"CENTRAL","POPPLETON",-76.6284283654,39.2910122754,null,"GAS STATION",null,1
1546214400000,"23:30:00","7A","2500 W BALTIMORE ST","AUTO THEFT","O",null,842,"SOUTHWEST",null,-76.6567129521,39.2877603414,null,"STREET",null,1
1546214400000,"08:00:00","7A","2300 ANNAPOLIS RD","AUTO THEFT","O",null,921,"SOUTHERN",null,-76.6343300975,39.2624035275,null,"STREET",null,1
1546214400000,"22:30:00","7A","2900 E NORTHERN PKWY","AUTO THEFT","O",null,424,"NORTHEAST",null,-76.55479,39.364365,null,"STREET",null,1
1546214400000,"17:00:00","7A","2400 HARLEM AVE","AUTO THEFT",null,null,721,"WESTERN","EVERGREEN LAWN",-76.654939,39.296238,null,null,null,1
1546214400000,"18:00:00","7A","600 ALLENDALE ST","AUTO THEFT","O",null,844,"SOUTHWEST","EDMONDSON VILLAGE",-76.678379,39.294484,null,"STREET",null,1
1546214400000,"19:30:00","7A","5700 THE ALAMEDA","AUTO THEFT","O",null,522,"NORTHERN","GLEN OAKS",-76.5941780071,39.3613921776,null,"STREET",null,1
1546214400000,"04:30:00","7A","5100 REISTERSTOWN RD","AUTO THEFT","O",null,623,"NORTHWEST","WOODMERE",-76.6825162357,39.3422224286,null,"STREET","Northwestern",1
1546214400000,"22:00:00","7A","5700 RUBIN AVE","AUTO THEFT",null,null,632,"NORTHWEST","GLEN",-76.690374,39.351323,null,null,null,1
1546214400000,"19:00:00","7A","1400 E LAFAYETTE AVE","AUTO THEFT","I",null,343,"EASTERN","OLIVER",-76.599845,39.310422,null,"APT\/CONDO - OCCUPIED","Eastern 1",1
1546214400000,"09:40:00","7A","4800 MELBOURNE RD","AUTO THEFT","O",null,833,"SOUTHWEST","BEECHFIELD",-76.6997518714,39.2734079034,null,"STREET",null,1
1546214400000,"11:00:00","7A","2900 BOARMAN AVE","AUTO THEFT","O",null,613,"NORTHWEST","TOWANDA-GRANTLEY",-76.669707,39.337124,null,"STREET",null,1
